"HMDBID","KEGGID","Name","Origin","Links","Diff"
"HMDB0005038","C07572","Citalopram","Host; Food related; Drug related; Environment","Food related(FooDB:FDB023605 T3DB:T3D2715); Drug related(DrugBank:DB00215 KEGG:C07572,D07704 T3DB:T3D2715); Environment(HMDB:HMDB0005038 T3DB:T3D2715)",0
"HMDB0031404","C00571","Cyclohexylamine","Food related","Food related(FooDB:FDB003478 HMDB:HMDB0031404)",0
NA,NA,"D-erythro-N-stearoylsphingosine","Unknown",NA,0
"HMDB0015102","D03693","Desloratadine","Drug related; Environment","Drug related(DrugBank:DB00967 KEGG:D03693 T3DB:T3D4557); Environment(T3DB:T3D4557)",1
"HMDB0000579",NA,"Deuteroporphyrin IX","Food related","Food related(FooDB:FDB022126)",0
NA,NA,"Ethylhexadecyldimethylammonium cation","Unknown",NA,0
NA,NA,"Eutylone","Unknown",NA,0
"HMDB0028800",NA,"Gln-Ile","Food related","Food related(FooDB:FDB111848)",0
"HMDB0028844",NA,"Gly-Ile","Food related","Food related(FooDB:FDB098410)",0
"HMDB0028854",NA,"Gly-Val","Food related","Food related(FooDB:FDB111886)",0
"HMDB0001842","C17349","Guanidine","Food related; Drug related","Food related(FooDB:FDB005416 HMDB:HMDB0001842 T3DB:T3D4172); Drug related(DrugBank:DB00536 T3DB:T3D4172)",0
"HMDB0000668",NA,"Hematoporphyrin","Food related","Food related(FooDB:FDB022173)",0
NA,"C03097","Heptadecasphinganine","Unknown",NA,0
"HMDB0000870","C00388","Histamine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:hista HMDB:HMDB0000870 KEGG:C00388,D08040); Food related(FooDB:FDB012596 HMDB:HMDB0000870); Drug related(DrugBank:DB05381 KEGG:C00388,D08040); Environment(HMDB:HMDB0000870)",0
NA,"C06356","Indole-6-carboxaldehyde","Unknown",NA,0
"HMDB0256623","D05523","Lidocaine-N-Oxide","Drug related","Drug related(DrugBank:DB06153 KEGG:D05523)",0
"HMDB0000172","C00407","L-Isoleucine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ile__L ChEBI:17191 KEGG:C00407,D00065); Food related(FooDB:FDB012397 HMDB:HMDB0000172 T3DB:T3D4364); Drug related(DrugBank:DB00167 KEGG:C00407,D00065 T3DB:T3D4364); Environment(HMDB:HMDB0000172 T3DB:T3D4364)",0
"HMDB0000761","C03990","Lithocholic acid","Food related","Food related(FooDB:FDB022230 HMDB:HMDB0000761 T3DB:T3D4963)",0
"HMDB0000159","C00079","L-Phenylalanine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:phe__L ChEBI:17295 KEGG:C00079,D00021); Food related(FooDB:FDB004940 HMDB:HMDB0000159 T3DB:T3D4366); Drug related(DrugBank:DB00120 KEGG:C00079,D00021 T3DB:T3D4366); Environment(HMDB:HMDB0000159 T3DB:T3D4366)",0
"HMDB0000158","C00082","L-Tyrosine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:tyr__L ChEBI:17895 KEGG:C00082,D00022); Food related(FooDB:FDB000446 HMDB:HMDB0000158); Drug related(DrugBank:DB00135 KEGG:C00082,D00022); Environment(HMDB:HMDB0000158)",0
"HMDB0000883","C00183","L-Valine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:val__L ChEBI:16414 KEGG:C00183,D00039); Food related(FooDB:FDB004905 HMDB:HMDB0000883 T3DB:T3D4370); Drug related(DrugBank:DB00161 KEGG:C00183,D00039 T3DB:T3D4370); Environment(HMDB:HMDB0000883)",0
"HMDB0037138","C00897","Maltose","Microbiota; Food related","Microbiota(BIGG:malt); Food related(FooDB:FDB016133 HMDB:HMDB0037138)",0
"HMDB0002379",NA,"Mesoporphyrin IX","Food related","Food related(FooDB:FDB022986)",0
"HMDB0001921","C07151","Metformin","Food related; Drug related; Environment","Food related(FooDB:FDB022739 T3DB:T3D3522); Drug related(DrugBank:DB00331 KEGG:C07151,D04966 T3DB:T3D3522); Environment(HMDB:HMDB0001921 T3DB:T3D3522)",0
"HMDB0000696","C00073","Methionine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:met__L ChEBI:16643 KEGG:C00073,D00019); Food related(FooDB:FDB012683 HMDB:HMDB0000696); Drug related(DrugBank:DB00134 KEGG:C00073,D00019)",0
"HMDB0001020","C02846","N,N-Dimethylaniline","Food related","Food related(FooDB:FDB005128 HMDB:HMDB0001020)",0
NA,"C18956","N-Acetyldihydrosphingosine","Unknown",NA,1
"HMDB0001488","C00253","Nicotinate","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:nac ChEBI:15940 KEGG:C00253,D00049); Food related(FooDB:FDB001014 HMDB:HMDB0001488 T3DB:T3D2841); Drug related(DrugBank:DB00627 KEGG:C00253,D00049 T3DB:T3D2841); Environment(HMDB:HMDB0001488 T3DB:T3D2841)",0
NA,"C06338","N-Methyl-2-pyrrolidone","Drug related","Drug related(DrugBank:DB04745)",0
"HMDB0003633","C02442","N-Methyltyramine","Microbiota; Food related","Microbiota(BIGG:C02442); Food related(FooDB:FDB000435 HMDB:HMDB0003633)",0
"HMDB0029586",NA,"n-Octadecylamine","Food related","Food related(HMDB:HMDB0029586)",0
"HMDB0060540",NA,"Norverapamil","Unknown",NA,0
"HMDB0240311","C06342","O-Benzyl-L-serine","Unknown",NA,0
"HMDB0000222","C02990","Palmitoyl-L-carnitine","Host; Microbiota; Food related","Microbiota(KEGG:C02990); Food related(FooDB:FDB021910 HMDB:HMDB0000222)",0
"HMDB0000210","C00864","Pantothenic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:pnto__R ChEBI:46905,7916 KEGG:C00864,D07413); Food related(FooDB:FDB030151 HMDB:HMDB0000210); Drug related(DrugBank:DB01783 KEGG:C00864,D07413)",0
"HMDB0256205","C10830","Peimine","Unknown",NA,0
"HMDB0012275","C05332","Phenylethylamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:peamn ChEBI:18397 HMDB:HMDB0012275 KEGG:C05332); Food related(FooDB:FDB010580 HMDB:HMDB0012275); Drug related(DrugBank:DB04325)",0
"HMDB0029377","C03882","Piperine","Microbiota; Food related; Drug related","Microbiota(ChEBI:28821); Food related(FooDB:FDB000449 HMDB:HMDB0029377); Drug related(DrugBank:DB12582)",0
NA,"C18956","Promecarb","Unknown",NA,0
NA,"C11166","Quinolin-2-ol","Food related; Drug related; Environment","Food related(FooDB:FDB020359 T3DB:T3D3629); Drug related(DrugBank:DB00815 KEGG:C11166,D01045 T3DB:T3D3629); Environment(T3DB:T3D3629)",0
NA,NA,"Quinoline-2,6-diol","Unknown",NA,0
NA,"D02851","Quinoline-2,8-diol","Drug related","Drug related(KEGG:D02851)",0
NA,NA,"Roquefortine A","Unknown",NA,0
"HMDB0005010","C07246","Sertraline","Food related; Drug related; Environment","Food related(FooDB:FDB023583 T3DB:T3D2985); Drug related(DrugBank:DB01104 KEGG:C07246,D02360 T3DB:T3D2985); Environment(T3DB:T3D2985)",0
"HMDB0003236","C06543","Solanidine","Food related","Food related(FooDB:FDB012098 HMDB:HMDB0003236)",0
"HMDB0013078",NA,"Stearoyl ethanolamide","Food related","Food related(FooDB:FDB029286 HMDB:HMDB0013078)",0
"HMDB0301980","C01460","TAG 39:3","Food related; Drug related","Food related(FooDB:FDB001706); Drug related(DrugBank:DB16836)",0
"HMDB0001889","C07130","Theophylline","Microbiota; Food related; Drug related; Environment","Microbiota(ChEBI:28177 KEGG:C07130,D00371); Food related(FooDB:FDB000453 HMDB:HMDB0001889 T3DB:T3D4780); Drug related(DrugBank:DB00277 KEGG:C07130,D00371 T3DB:T3D4780); Environment(T3DB:T3D4780)",0
"HMDB0029065",NA,"Thr-Leu","Food related","Food related(FooDB:FDB112071)",0
"HMDB0034731","C10826","Tomatidine","Food related","Food related(FooDB:FDB013270 HMDB:HMDB0034731)",0
"HMDB0030388","C16431","trans-Zeatin","Food related","Food related(FooDB:FDB002240 HMDB:HMDB0030388)",1
"HMDB0259220","C03584","Trihydroxycholestanoic acid","Drug related","Drug related(DrugBank:DB04129)",0
"HMDB0000303","C00398","Tryptamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:trypta KEGG:C00398); Food related(FooDB:FDB000917); Drug related(DrugBank:DB08653)",0
"HMDB0000929","C00078","Tryptophan","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:trp__L ChEBI:16828 KEGG:C00078,D00020); Food related(FooDB:FDB002250 HMDB:HMDB0000929 T3DB:T3D4369); Drug related(DrugBank:DB00150 KEGG:C00078,D00020 T3DB:T3D4369); Environment(HMDB:HMDB0000929)",0
"HMDB0000306","C00483","Tyramine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:tym ChEBI:15760 HMDB:HMDB0000306 KEGG:C00483); Food related(HMDB:HMDB0000306 T3DB:T3D4435); Drug related(DrugBank:DB08841)",0
